SN,Name,Course,City,Marks
1,Arun ,IT,Azamgarh,80
2,Anshuman,IT,Kushinagar,90
3,Aman,IT,Maharajganj,88
4,Anil,IT,Mirjapur,70
5,KM,IT,BKT,74
6,Anand,IT,Azamgarh,70.8
7,Mata,IT,Kushinagar,67.6
8,Abhishek,IT,Maharajganj,64.4
9,Shubham,IT,Mirjapur,61.2
10,Vineet,IT,BKT,58
11,Shivam,IT,Azamgarh,54.8
12,Yuraj,IT,Kushinagar,51.6
13,Deepali,IT,Maharajganj,48.4
14,Saloni,IT,Ayodhya,45.2
15,Karan,IT,BKT,42
16,Harse,IT,Azamgarh,38.8
17,Harshit,IT,Kushinagar,35.6
18,Anup,IT,Maharajganj,32.4
19,Abu,IT,Mirjapur,29.2
20,Anmol,IT,BKT,26
